index,relative_path,category,extension,size_bytes,estimated_records,parse_status,sensitive_keys,observed_keys,sha256
66,public\ocr\books\class6-english\pages\page-061.json,TEXTBOOK_OCR,.json,20282,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,2dd44c392242a0aae34586a305f1b39718e1c35dff848ddb4294cd54117b8f25
67,public\ocr\books\class6-english\pages\page-062.json,TEXTBOOK_OCR,.json,13765,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,48422561ea4d10f1a6c982565786a989ac46919679e49704351a9217e6178a42
68,public\ocr\books\class6-english\pages\page-063.json,TEXTBOOK_OCR,.json,16455,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,6781b45979b33007a643626f7d6f8ab9c14e33c7c6cd4910c7dc37d8577f88a3
69,public\ocr\books\class6-english\pages\page-064.json,TEXTBOOK_OCR,.json,11014,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,796fea1a2dddc0961ababa552bfd803a9fa296fab2e22e90b1b58402fc6de41b
70,public\ocr\books\class6-english\pages\page-065.json,TEXTBOOK_OCR,.json,20076,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,8fe89667062467aecbe40411144588e838da50ac91a4ac4cd27c0c3ff4b66ce5
71,public\ocr\books\class6-english\pages\page-066.json,TEXTBOOK_OCR,.json,20189,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,6828d8409d11fdd80bc85666461276387e05e79bcf6160b456be87df82e2a63e
72,public\ocr\books\class6-english\pages\page-067.json,TEXTBOOK_OCR,.json,19701,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,a8a1967b8c9de969f6ac8a3c06e5d417ff50c0fd23e612f9f6677e257d341869
73,public\ocr\books\class6-english\pages\page-068.json,TEXTBOOK_OCR,.json,22151,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,3f25011f33fa902d86e31e9bb6b48dc9b9a9734c53058e11e48690f07a0db48a
74,public\ocr\books\class6-english\pages\page-069.json,TEXTBOOK_OCR,.json,28843,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,6b5a93c0d3c0ee3204f6f0faf3422de8c1083b034de961637bf26dbc8ca6cb9e
75,public\ocr\books\class6-english\pages\page-070.json,TEXTBOOK_OCR,.json,26293,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,6651a448df008997d04a8660228d256e5b7262b7093d3794821299a6f8094bac
